ngram,corpus frequency,document frequency,rank in corpus
athens,54,4,472
wrath,53,23,473
wood,53,16,473
wings,53,22,473
voices,53,15,473
villains,53,20,473
trial,53,25,473
titus,53,4,473
therein,53,27,473
stone,53,27,473
sometimes,53,28,473
siluia,53,1,473
shore,53,23,473
seeming,53,19,473
realm,53,13,473
protest,53,26,473
perfect,53,27,473
nights,53,25,473
gross,53,23,473
forbear,53,23,473
fond,53,24,473
fiend,53,17,473
feet,53,25,473
escape,53,29,473
counterfeit,53,26,473
charity,53,24,473
anger,53,27,473
tree,52,20,474
touched,52,25,474
top,52,28,474
thrust,52,25,474
shepherd,52,11,474
s,52,20,474
ransom,52,18,474
quality,52,20,474
obedience,52,22,474
marcus,52,5,474
lover,52,19,474
knaves,52,21,474
jewel,52,28,474
innocent,52,19,474
grown,52,23,474
goodness,52,17,474
flowers,52,21,474
falls,52,24,474
encounter,52,29,474
edwards,52,5,474
dyed,52,17,474
ducats,52,10,474
despair,52,21,474
deceived,52,25,474
buried,52,22,474
benedict,52,1,474
begins,52,28,474
wash,51,25,475
vengeance,51,21,475
trumpet,51,20,475
thomas,51,9,475
sum,51,20,475
spite,51,24,475
song,51,19,475
sign,51,20,475
sickness,51,24,475
mirth,51,24,475
maids,51,25,475
intend,51,25,475
heed,51,24,475
deal,51,27,475
countries,51,20,475
caius,51,7,475
brings,51,26,475
bought,51,23,475
bare,51,25,475
womb,50,24,476
wall,50,20,476
vouchsafe,50,21,476
turns,50,27,476
tidings,50,20,476
throat,50,24,476
sigh,50,22,476
shed,50,21,476
seat,50,22,476
ride,50,19,476
rain,50,27,476
particular,50,17,476
northumberland,50,8,476
naked,50,25,476
lose,50,23,476
kindness,50,25,476
intent,50,26,476
girl,50,20,476
gain,50,24,476
flies,50,24,476
empty,50,27,476
durst,50,25,476
doors,50,23,476
challenge,50,16,476
awhile,50,21,476
appears,50,26,476
woo,49,16,477
wast,49,23,477
villainy,49,18,477
trick,49,25,477
tide,49,20,477
swore,49,19,477
sorrows,49,20,477
rule,49,25,477
plot,49,18,477
perchance,49,22,477
officer,49,17,477
modesty,49,23,477
meant,49,23,477
knees,49,23,477
fallen,49,28,477
faces,49,22,477
empress,49,6,477
drops,49,24,477
credit,49,23,477
capital,49,14,477
assured,49,21,477
assure,49,23,477
wide,48,26,478
vice,48,20,478
success,48,19,478
streets,48,18,478
servants,48,24,478
satisfied,48,22,478
memory,48,23,478
jealous,48,18,478
i'd,48,15,478
hers,48,19,478
hastings,48,3,478
guess,48,26,478
forest,48,13,478
estate,48,23,478
envy,48,23,478
delight,48,25,478
deadly,48,24,478
contrary,48,23,478
consider,48,26,478
conduct,48,25,478
cease,48,20,478
cap,48,17,478
blush,48,22,478
blessing,48,21,478
beloved,48,23,478
asleep,48,20,478
absence,48,25,478
winds,47,22,479
tyrant,47,22,479
suddenly,47,24,479
stuff,47,24,479
storm,47,20,479
spake,47,23,479
sits,47,24,479
sighs,47,21,479
ship,47,15,479
lyon,47,19,479
ignorant,47,22,479
hereafter,47,27,479
feared,47,25,479
fancy,47,20,479
ends,47,25,479
early,47,21,479
dogs,47,27,479
divine,47,24,479
demetrius,47,2,479
degree,47,16,479
cure,47,22,479
civil,47,24,479
bestow,47,25,479
beaten,47,24,479
advise,47,20,479
whore,46,14,480
victory,46,18,480
summer,46,27,480
stroke,46,24,480
sleeping,46,21,480
shortly,46,21,480
reputation,46,20,480
raise,46,22,480
protector,46,4,480
prize,46,25,480
practise,46,23,480
painted,46,26,480
number,46,21,480
lovely,46,19,480
